UUID,BATCHID,QUOTE_PRODUCT,QUOTEDATE,QUOTEHOUR,POLICYNO,INCEPTIONDATE,EXPIRYDATE,EFFECTIVESTARTDATE,EFFECTIVEENDDATE,PREVINSR,CREDITCHECKSCONSENTIND,CREDITSCORE,DATEOFBIRTH,HOMEOWNERIND,MARITALSTATUS,VEHICLESAVAILABLE,PRN,SEX,POSTCODEDISTRICT,POSTCODEFULL,POSTCODESECTOR,SURNAME,IPTAMOUNT,NEWRISKPREMIUM,OLDRISKPREMIUM,ORIGINALPREMIUM,PREMIUMINCLIPT,PREMIUMEXCLIPT,TOTALPREMIUMPAYABLE,AGENCYREF,BUSINESSSOURCECODE,INTERMEDIARY_CODE,INSRPMTTYPE,DEBITFRQCY,ADDRESS,FULLNAME,POSTCODE,PHONENUMBER,EMAIL
XX-f0dfe042-9317-4958-91ea-2ed237388e78,f17e5b9b4048ae52c0c9e54a5d60bdbf,MotorPanel,2023-05-01,,AC4930370-05,2023-05-12,2024-05-11,2023-05-12,,997,,,6e0ce8e548a29cc4619dc07d0b38d84268f78f8aeb5c6f3ea46d2fafc6e2431f,Y,,,01,REDACTED,,d97449c43155b906b10171e0a1e93f096fb3b4ec583a6eb001d9c515c64ef0de,f615eda013fcab25625636fe8a1718f44586bbcb9c4035780dd7fcd072b61255,fba4c8db8868930118cb1eaff78f7c19769f84dd38c78c18ed49eddf7cdb8b10,57.13,,,,533.08,475.96,533.08,,,,,,4 Denise mills East Helenburgh,Steven Scott,BA6B 3HJ,(0306) 999 0926,Steven.Scott@gmail.com
XX-4ab12eb7-202c-4170-b5fa-d94e1a3f305a,45e881931af806b242dd636620d61438,MotorPanel,2023-05-01,,APP275506-01,2023-05-30,2024-05-29,2023-05-30,,997,,,2d286b6e14eda111763df31c9501e0c9d2c7e826b1c7f27e032855db5ee1932f,N,,,01,REDACTED,,20bde35100101127db5459c952d830adc59c962b9f353e2749afb260f831195b,ff89d6c0f47fe22027fe3a42a415305e5479ffab076e2d3504a1cfe5b60a3c06,dbf48e5fcdbd58d1cf4d8092d83f4b4c1c21ed6d0057f0d8c62165ede2740002,,,,,0.00,0.00,0.00,,,,,,243 Aimee fork New Conorville,Aimee Robertson,M63 0GZ,+44(0)121 4960528,Aimee.Robertson@gmail.com
XX-66b9516c-19fa-4285-8109-d74a5c684366,a723bf3a3b3f4186652e2ee725e4dc67,RIASPC,2023-05-04,,GDCCA06220044,2022-06-04,2023-06-03,2023-06-04,2024-06-03,997,,,c0d19a61851f5a4318ae4b30949ba10e3f2ec94571e0f038bb4094f186ae0f5b,,,0,,,,8de7dd1580cbe2e5b273924db1f70afbd8d325527541d8129580716d9cd9c286,5fa7841fe747e230d759407c1e4e967481c36eb1d019772f0d96af2c25d377c3,,54.67,,,431.26,510.24,455.57,,,,A10034,SF,,861 Osborne creek South Joannafort,John Stokes,L6 6XD,(0191) 496 0931,John.Stokes@gmail.com
XX-c48e211d-92fd-4519-abea-854af35d7945,3ebe4b1e779ae132cbdcc989f7e023c6,MotorPanel,2023-05-02,,ACE268700-02,2023-05-21,2024-05-20,2023-05-21,,997,,,93cdd3370042ccff50a0dd3bfa9876e3e2efda66bd938fb6a7975f8816154b49,N,,,01,REDACTED,,3a926a793ab61fa01b69acf697344b68fbd1b3d90d86189a62bc27baf63f2aa5,8a8e9bf42492ea84bb5e5abcb4bf0274fd8e3d19d7c0a420ecfc76cc002eb0ef,f23303b3ba50b9f359a07d74ed0d25e3e96134ff9c319e11b3328e67e59f13ad,,,,,0.00,0.00,0.00,,,,,,Studio 48Q Ashley plains East Elaine,Jade Davies,IM73 8TA,(0306) 999 0663,Jade.Davies@gmail.com
XX-a1167ff5-6be5-4a02-943d-55751fa02670,a5b8d88e9f589bf63dae24940509207f,MotorPanel,2023-05-03,,AC4429042-04,2023-05-12,2024-05-11,2023-05-12,,997,,,0c282d4f15e9783e707075942414f3230e31e3e2596ae541016c3e8475e33baf,Y,,,01,REDACTED,,b5032efdfe262cb98e4c43da5e6fdb56f3d6dd45812b28496290045d49ac15fb,378d17be682d891fb70ef58b331ec2f77678cd79e442c9c8c2f2930000d87fcb,839d0f4b462fdb4f4f2ca33bb9d4e2567263ec1abe526c8a73986a19fb3b3f80,15.15,,,,141.41,126.26,141.41,,,,,,62 Begum alley New Peterchester,Bethan Butler,GU5W 5SF,+44(0)117 496 0099,Bethan.Butler@gmail.com
XX-27157cb7-5bcb-403f-b984-b7ff379e0732,d0ff043428df4f4ae4dac0e34b930fc3,MotorPanel,2023-05-05,,ACE710987-02,2023-06-03,2024-06-02,2023-06-03,,997,,,81c0b7aa3e79e61567e860f3bd4dd6622b1a302f2a8d6704cbf608f863d8c766,N,,,01,REDACTED,,1e5a4b5af7135a6d8eb2cedceb3cb3533b608eedebcfe8af7474b97becb69e99,962171a68d7eaceea40ca797007a309bf1070963ffb3e3d5a0f049914171ede2,29786a63e026b5c7413b7a1566d1c009784f2cd0effdf83139dc34ec8db628b7,70.53,,,,658.26,587.73,658.26,,,,,,Flat 01H Ellis ville Port Lorraine,Duncan Harrison,E8U 9UZ,+449098790337,Duncan.Harrison@gmail.com
XX-70c599bc-b17c-4242-ad11-ed53b0a1efdd,51f6f44a80b38ec91d13bdad439b3b1a,MotorPanel,2023-05-03,,AP1124859-08,2023-05-03,2024-05-02,2023-05-03,,997,,,6e891ac1dd579589b9299ee01c75247e5d44e106e1eec44fbae474206b9650d3,Y,,,01,REDACTED,,2b6715b79789699595cb27c3acc6557233ad050c599170b5c7f916174324977e,3833574ac8951ac6de80a6b6658d64864d9302b1a1066f2264b7be6f9d80a1de,9129cc798271621a2f9e36fdc131d786fe39b22c8e90673c1022ebb033312c43,,,,,0.00,0.00,0.00,,,,,,4 Toby path Wardfort,Dale Powell,BD31 3UA,+441632 960960,Dale.Powell@gmail.com
XX-7e282456-9d14-4826-83ad-1e9a4caf4767,728785c7db3b73586ba1c8b2c12a34a6,MotorPanel,2023-05-05,,ACE823211-01,2023-06-03,2024-06-02,2023-06-03,,997,,,076f7314b2a1e39cc1016b93042c1bc5d318954692b0c59c7d24e28dd33542b8,N,,,01,REDACTED,,bc65755a4922094cf970297e8bd478664d93ce259c70112976915f49a5bbf63a,e762dc27bfabcb0fe237a0d8bbd8246a742c3be97fcf3e3e7a48eb2eb445bea5,36c2d543e680b3c08dda26e3e874d5d26da8837e748532b81a603810fdeb3a24,58.48,,,,545.80,487.32,545.80,,,,,,57 Thornton passage Graymouth,Danielle Kemp,W14 1NL,(0115) 4960007,Danielle.Kemp@gmail.com
XX-24221806-3db5-40af-a5f0-75eb0bfd1954,82ac83225bc272598fcb45ae89c8d81d,MotorPanel,2023-05-03,,ACE401137-01,2023-06-02,2024-06-01,2023-06-02,,997,,,3addeaef0e4f2c7a72a2f99b8cadee4e804f0d99d12eb3f93a0d3de2b3301e9a,Y,,,01,REDACTED,,9be9ba9ddc9ecd94fc6ef69dc966215564c275ee65c22ce9789ffeefd7d731f2,a03d979677da87891e0fbcd4e0f283c87edc60ccd4f56fdbe5effd5a49efd401,20624511b354e344d9ea3c225a48bc27b97a58d7fd642da96cb362485f877243,182.92,,,,1707.18,1524.27,1707.18,,,,,,73 Melissa knolls Lake Hollyside,Luke Fox,GU59 5YY,(0191) 496 0508,Luke.Fox@gmail.com
XX-55411ca8-78a9-44e7-a236-8795e3eebc00,0715b2e53fb478bb51614faa916a41e2,MotorPanel,2023-05-03,,ACE573615-01,2023-05-03,2024-05-02,2023-05-03,,997,,,ad3ea8656f2aec986d906daa6afa38318ab433c8426dc62f8a8fad75dfdf19c1,N,,,01,REDACTED,,40473afdae2f6a643b289035c7c9cd363bf60ac5fa25eb5c29568f7d2cef4d66,5795cd449aa4730286bfb1bf676db4903d2ad9e85257cd6702fc6edf1b0b127b,e9f910af7303a15a48f419dd8126d2b3309b51b48f087a2217e8cac9291b2e27,,,,,0.00,0.00,0.00,,,,,,178 Dobson keys Shahstad,Jake Wyatt,E6 1LS,09098790926,Jake.Wyatt@gmail.com
