FULLNAME,POSTCODE,CUSTID,IPID,PRODUCTNAME,QUOTECOUNT,POLICYNO,QUOTEDATE,QUOTE_PRODUCT,ORIGINALPREMIUM,TOTALPREMIUMPAYABLE,CREATEDDATE,BRAND,BRANCHCODE,POLICY_STATUS_DESC,TYPEOFCOVER_DESC,INSURER_NAME,INCEPTIONDATE,RENEWALDATE
Katie Price,HP2E 7AR,8ea767bf87d4454eafe1ff3ee2b1307e,466603,AgeasDirectPC,23,GDCCA06187474,2023-05-04,AgeasDirectPC,499.28,,2023-05-25,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-21,2024-05-21
Katie Price,HP2E 7AR,8ea767bf87d4454eafe1ff3ee2b1307e,466603,AgeasDirectPC,23,GDCCA06187474,2023-05-04,AgeasDirectPC,499.28,,2023-05-25,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-21,2024-05-21
Gavin Wood,HP4 6SB,8d1edf5d1fce98385b60d37872cdd7d7,461554,AgeasDirectPC,17,GDCCA06456792,2023-05-03,AgeasDirectPC,450.91,,2023-05-26,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-09,2024-06-09
Tina Hunter,HP6V 8BH,cc997d72bb7d9a67348947e84b8e7843,668768,RIASPC,9,GDCCA02226371,2023-05-03,RIASPC,194.08,,2023-05-24,Rias,AUTO,In The Renewal Cycle,Comprehensive,Ageas RIAS,2018-06-22,2023-06-22
Damian Jones,HP8X 4GR,3c546b4d890e5c61d1356588d65dc758,197247,AgeasDirectPC,12,ACE489609-01,2023-05-03,MotorPanel,,758.61,2023-05-19,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-18,2024-05-18
Holly Reeves,HP9 6ZT,d31e9e893f3ccd7537b372ae8a6b2a32,690178,AgeasDirectPC,32,GDCCA06457566,2023-05-04,AgeasDirectPC,923.38,,2023-05-31,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-10,2024-06-10
Damien Smith,HR0 4XQ,1296fc049c375e136e9ab42b3b0d1cca,60604,AgeasDirectPC,7,GDCCA05870500,2023-05-04,AgeasDirectPC,179.32,,2023-05-19,AgeasDirect,AUTO,In The Renewal Cycle,Comprehensive,Ageas,2021-06-10,2023-06-10
Carole Waters,HR0 5LB,5cda59c3f742c737bfc969b3d35dc311,303495,RIASPC,17,GDCCA02668813,2023-05-03,RIASPC,274.64,,2023-05-31,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2017-11-23,2023-11-23
Nathan Campbell,HR15 5NJ,d484bc1ae38b0a559f607530ce711058,694572,AgeasDirectPC,16,ABI783712-06,2023-05-02,MotorPanel,,0.00,2023-05-17,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-06-09,2024-06-09
Victor Burke,HR2 7FG,18f4459e90b290642d81e1dd29681d02,81128,AgeasDirectPC,22,GDCCA06444739,2023-05-05,AgeasDirectPC,475.63,,2023-05-29,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-29,2024-05-29
Victor Burke,HR2 7FG,18f4459e90b290642d81e1dd29681d02,81128,AgeasDirectPC,22,GDCCA06444739,2023-05-05,AgeasDirectPC,323.17,,2023-05-29,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-29,2024-05-29
Margaret Moore,HR2H 6ED,3aa31fce84ffab6bd85193d95558386c,191579,AgeasDirectPC,6,AN8766066-28,2023-05-03,MotorPanel,,0.00,2023-05-15,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-29,2024-04-29
Albert Brown,HR2W 0TX,89268c54738898682b77abe83933ec81,448679,RIASPC,15,GDCCA05062058,2023-05-05,RIASPC,810.17,,2023-05-27,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-11-07,2023-11-07
Albert Brown,HR2W 0TX,89268c54738898682b77abe83933ec81,448679,RIASPC,15,GDCCA05062058,2023-05-05,RIASPC,810.17,,2023-05-27,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-11-07,2023-11-07
Albert Brown,HR2W 0TX,89268c54738898682b77abe83933ec81,448679,RIASPC,15,GDCCA05062058,2023-05-05,RIASPC,810.17,0.00,2023-05-27,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-11-07,2023-11-07
Albert Brown,HR2W 0TX,89268c54738898682b77abe83933ec81,448679,RIASPC,15,GDCCA05062058,2023-05-05,RIASPC,810.17,0.00,2023-05-27,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-11-07,2023-11-07
Georgia Young,HR4 1DU,77cabac1e3cfa062b1ff21c23dd09b74,391379,RIASPC,8,GDCCA02643478,2023-05-04,RIASPC,167.84,,2023-05-21,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2019-05-21,2024-05-21
Georgia Young,HR4 1DU,77cabac1e3cfa062b1ff21c23dd09b74,391379,RIASPC,8,GDCCA02643478,2023-05-04,RIASPC,167.84,,2023-05-21,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2019-05-21,2024-05-21
Georgia Young,HR4 1DU,77cabac1e3cfa062b1ff21c23dd09b74,391379,RIASPC,8,GDCCA02643478,2023-05-04,RIASPC,167.84,,2023-05-21,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2019-05-21,2024-05-21
Georgia Young,HR4 1DU,77cabac1e3cfa062b1ff21c23dd09b74,391379,RIASPC,8,GDCCA02643478,2023-05-04,RIASPC,167.84,,2023-05-21,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2019-05-21,2024-05-21
Josh King,HR48 1GA,0807fc3425433f2614fbdad7950452a0,26257,AgeasDirectPC,8,GDCCA06487110,2023-05-01,AgeasDirectPC,639.11,0.00,2023-05-04,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2022-08-29,2023-08-29
Josh King,HR48 1GA,0807fc3425433f2614fbdad7950452a0,26257,AgeasDirectPC,8,GDCCA06487110,2023-05-03,AgeasDirectPC,639.11,0.00,2023-05-04,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2022-08-29,2023-08-29
Josh King,HR48 1GA,0807fc3425433f2614fbdad7950452a0,26257,AgeasDirectPC,8,GDCCA06487110,2023-05-03,AgeasDirectPC,639.11,,2023-05-04,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2022-08-29,2023-08-29
Josh King,HR48 1GA,0807fc3425433f2614fbdad7950452a0,26257,AgeasDirectPC,8,APB927540-09,2023-05-02,MotorPanel,,0.00,2023-05-04,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2022-08-29,2023-08-29
Josh King,HR48 1GA,0807fc3425433f2614fbdad7950452a0,26257,AgeasDirectPC,8,GDCCA06487110,2023-05-01,AgeasDirectPC,639.11,,2023-05-04,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2022-08-29,2023-08-29
Ashley Stone,HR49 7LX,0d186ea9c59465bdbb549a2aa2905842,42776,AgeasDirectPC,24,ACE756559-07,2023-05-04,MotorPanel,,0.00,2023-05-27,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-26,2024-05-26
Ashley Stone,HR49 7LX,0d186ea9c59465bdbb549a2aa2905842,42776,AgeasDirectPC,24,ACE754614-13,2023-05-04,MotorPanel,,0.00,2023-05-27,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-26,2024-05-26
Deborah Rice,HR5B 2JJ,2c57476d1e16ec4cbb134a1ae10191c5,144612,AgeasDirectPC,31,AC4389103-08,2023-05-02,MotorPanel,,0.00,2023-05-16,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-05-16,2024-05-16
Deborah Rice,HR5B 2JJ,2c57476d1e16ec4cbb134a1ae10191c5,144612,AgeasDirectPC,31,AC4389103-08,2023-05-02,MotorPanel,,0.00,2023-05-16,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-16,2024-05-16
Deborah Rice,HR5B 2JJ,2c57476d1e16ec4cbb134a1ae10191c5,144612,AgeasDirectPC,31,GDCCA06439854,2023-05-02,AgeasDirectPC,747.55,0.00,2023-05-16,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-05-16,2024-05-16
Deborah Rice,HR5B 2JJ,2c57476d1e16ec4cbb134a1ae10191c5,144612,AgeasDirectPC,31,GDCCA06439854,2023-05-02,AgeasDirectPC,747.55,0.00,2023-05-16,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-16,2024-05-16
Sian Bull,HR5R 5GF,922e983086e78361dc5ec1404495f1cf,478200,RIASPC,10,GDCCA05064969,2023-05-05,RIASPC,349.19,0.00,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-11-20,2023-11-20
Sian Bull,HR5R 5GF,922e983086e78361dc5ec1404495f1cf,478200,RIASPC,10,GDCCA05064969,2023-05-05,RIASPC,445.01,,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-11-20,2023-11-20
Sian Bull,HR5R 5GF,922e983086e78361dc5ec1404495f1cf,478200,RIASPC,10,GDCCA05064969,2023-05-05,RIASPC,349.19,,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-11-20,2023-11-20
Sian Bull,HR5R 5GF,922e983086e78361dc5ec1404495f1cf,478200,RIASPC,10,GDCCA05064969,2023-05-05,RIASPC,349.19,0.00,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-11-20,2023-11-20
Sian Bull,HR5R 5GF,922e983086e78361dc5ec1404495f1cf,478200,RIASPC,10,GDCCA05064969,2023-05-05,RIASPC,348.12,,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-11-20,2023-11-20
Sian Bull,HR5R 5GF,922e983086e78361dc5ec1404495f1cf,478200,RIASPC,10,GDCCA05064969,2023-05-05,RIASPC,348.12,,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-11-20,2023-11-20
Sian Bull,HR5R 5GF,922e983086e78361dc5ec1404495f1cf,478200,RIASPC,10,GDCCA05064969,2023-05-05,RIASPC,349.19,0.00,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-11-20,2023-11-20
Sian Bull,HR5R 5GF,922e983086e78361dc5ec1404495f1cf,478200,RIASPC,10,GDCCA05064969,2023-05-05,RIASPC,349.19,,2023-05-06,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-11-20,2023-11-20
